№ п/п,Дата обнародования информации о признании деятельности организации нежелательной на территории Российской Федерации,Дата принятия решения Генеральной прокуратурой Российской Федерации о признании деятельности организации нежелательной на территории Российской Федерации,Дата принятия решения Генеральной прокуратурой Российской Федерации об отмене решения о признании деятельности организации нежелательной на территории Российской Федерации,Дата распоряжения Минюста России о включении в перечень,Дата распоряжения Минюста России об исключении из перечня,Наименование организации,Номер распоряжения Минюста России о включении в перечень,Номер распоряжения Минюста России об исключении из перечня,Статус
105,,02.08.2023,,18.08.2023,,"Громадська Спiлка «Мiжнародний Громадський Рух «АЛЛАТРА» (Общественный Союз «Международное Общественное Движение «Аллатра», Международное общественное движение «АЛЛАТРА», «МОД «АЛЛАТРА», «АллатРа») (Украина)",1130-р,,Включена
106,,11.08.2023,,23.08.2023,,Stowarzyszenie «Za Wolna Rosje» (Ассоциация «За свободную Россию») (Республика Польша),1148-р,,Включена
107,,30.08.2023,,12.09.2023,,"Free Buryatia Foundation (Фонд «Свободная Бурятия»), США",1236-р,,Включена
108,,30.08.2023,,14.09.2023,,"URALIC Keskus MTÜ (URALIC Centre of Indigenous Peoples, MTÜ Polisrahvaste Arengu Keskus, «Центр «Uralic», «Центр развития коренных народов») (Эстония)",1243-р,,Включена
109,,01.09.2023,,18.09.2023,,UnKremlin e.V. (ФРГ),1261-р,,Включена
110,,01.09.2023,,18.09.2023,,"«Международная федерация транспортных рабочих» («International Transport Workers Federation»), Великобритания, Лондон",1262-р,,Включена
111,,12.09.2023,,26.09.2023,,"«Объединение торговых палат ИстЧам Финланд» (EastCham Finland kauppakamariyhdistys ry) («Восточная торговая палата Финляндии», «Зарегистрированная ассоциация Торговая палата ИстЧам Финланд», «ИстЧам Финланд», EastCham Finland) (Финляндия)",1281-р,,Включена
112,,13.09.2023,,26.09.2023,,"Hudson Institute («Гудзоновский институт»), США",1282-р,,Включена
113,,18.09.2023,,11.10.2023,,Foundation for Democratic Development  («Фонд Демократического Развития») (США),1360-р,,Включена
114,,26.09.2023,,17.10.2023,,«Объединение «Комитет-2024» (Республика Польша),1387-р,,Включена
115,,18.09.2023,,01.11.2023,,"Central European University («Центрально-Европейский университет»), Австрия",1440-р,,Включена
116,,12.09.2023,,01.11.2023,,"Zentrum fur Osteuropa – und internationale Studien (ZOiS) gGmbH («Центр восточноевропейских и международных исследований»), ФРГ",1441-р,,Включена
117,,12.10.2023,,08.11.2023,,"Wachtturm Bible und Traktat Gesellschaft der Zeugen Jehovas («Общество Сторожевой башни, Библии и трактатов Свидетелей Иеговы Зельтерс/Таунус») Германия",1463-р,,Включена
118,,12.10.2023,,08.11.2023,,"Релiгiйна органiзацiя «Релiгiйний Центр Свiдкiв Єгови в Українi» («Религиозный центр «Свидетелей Иеговы» в Украине»), Украина",1464-р,,Включена
119,,12.10.2023,,08.11.2023,,"Watch Tower Bible and Tract Society of Pensilvania («Общество Сторожевой башни, Библии и трактатов Пенсильвании»), США",1465-р,,Включена
120,,03.11.2023,,21.11.2023,,Civil Council («Гражданский Совет») (Республика Польша),1522-р,,Включена
121,,23.10.2023,,27.11.2023,,"Center for European Policy Analysis, CEPA («Центр анализа европейской политики»), США",1558-р,,Включена
122,,14.11.2023,,04.12.2023,,"Akademisches Netzwerk Osteuropa e.V. («Академическая сеть Восточная Европа»), ФРГ",1608-р,,Включена
123,,14.11.2023,,04.12.2023,,«Российский комитет действия» (Литовская Республика),1609-р,,Включена
124,,21.11.2023,,06.12.2023,,"RAND Corporation («РЭНД корпорейшн»), США",1618-р,,Включена
125,,24.11.2023,,25.12.2023,,"Russian America for Democracy  in Russia («Русская Америка за демократию в России»), США",1727-р,,Включена
126,,07.12.2023,,25.12.2023,,"True Russia Limited («Настоящая Россия»), Великобритания",1728-р,,Включена
127,,05.12.2023,,25.12.2023,,Global Investigative Journalism Network («Глобальная сеть журналистов-расследователей») (США),1729-р,,Включена
128,,11.12.2023,,26.12.2023,,"Nodibinājums «Helpdesk Media Foundation» («Медиа-фонд «Служба поддержки», «Служба поддержки») (Латвийская Республика)",1734-р,,Включена
129,,26.12.2023,,26.01.2024,,"Freies Russland Berlin e.V. («Свободная Россия Берлин»), ФРГ",94-р,,Включена
130,,26.12.2023,,26.01.2024,,"Freies Russland NRW e.V. («Свободная Россия Северный Рейн-Вестфалия»), ФРГ",95-р,,Включена
131,,11.01.2024,,26.01.2024,,GlobalGiving Foundation Inc. («Фонд глобальной помощи») (США),96-р,,Включена
132,,11.01.2024,,31.01.2024,,Russian antiwar committee («Антивоенный комитет России»),113-р,,Включена
133,,11.01.2024,,31.01.2024,,Russie-Libertes (Франция),114-р,,Включена
134,,11.01.2024,,31.01.2024,,La Asocicion de Rusos Libres (Испания),115-р,,Включена
135,,23.01.2024,,05.02.2024,,«Союз за возвращение Северных территорий» («Союз борьбы за возвращение Северных территорий») (Япония),136-р,,Включена
136,,16.01.2024,,05.02.2024,,Громадська органiзацiя «Кримськотатарський Ресурсний Центр» («Крымскотатарский Ресурсный Центр») (Украина),137-р,,Включена
